The first block gives for each co-culture type the mean C,R at time 0
the second block is the degradation data of each co-culture at t=110[h]
the format is: polymer_name	strains	C	R
Carbosynth FV	LCC_4|isolate_25|isolate_56	2.1747342902125886	0.3062461662549621
Carbosynth FV	LCC_4|isolate_25|isolate_56	2.1763810496584624	0.323268073771322
Carbosynth FV	LCC_4|isolate_25|isolate_56	2.1757931499100436	0.32992053627461204
Carbosynth FV	LCC_4|isolate_25|isolate_56|isolate_69	2.2835926018607666	0.43754116181532554
Carbosynth FV	LCC_4|isolate_25|isolate_56|isolate_69	2.2721109897597715	0.44206531155214446
Carbosynth FV	LCC_4|isolate_25|isolate_56|isolate_69	2.285723921937395	0.4352207307333351
Carbosynth FV	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_69|isolate_94	2.3009193169282502	0.46402600134542094
Carbosynth FV	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_69|isolate_94	2.3085038423129762	0.4591801694950932
Carbosynth FV	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_69|isolate_94	2.300561505847703	0.45051021371525424
Carbosynth FV	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_94	2.2253406044279265	0.37570868396982826
Carbosynth FV	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_94	2.2497495585872396	0.40891294188391436
Carbosynth FV	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_94	2.2482019935472186	0.40590525451132964
Carbosynth FV	isolate_69	1.0123384163274167	0.3548294477986196
Carbosynth FV	isolate_69	1.0717185458392968	0.3465945813749401
Carbosynth FV	isolate_69	1.0210954367613967	0.32204222269644456
Carbosynth FV	isolate_12|isolate_40|isolate_69|isolate_94	1.0602426486434702	0.40641311517898987
Carbosynth FV	isolate_12|isolate_40|isolate_69|isolate_94	1.1142137377562802	0.3953319613349574
Carbosynth FV	isolate_12|isolate_40|isolate_69|isolate_94	1.0550204099054001	0.4014655101567643
Carbosynth FV	isolate_12|isolate_40|isolate_94	0.5827912312639798	0.2285272923379556
Carbosynth FV	isolate_12|isolate_40|isolate_94	0.48220549295580994	0.21027435567903463
Carbosynth FV	isolate_12|isolate_40|isolate_94	0.40159898201327016	0.20160593994977283
Cladosiphon	LCC_4|isolate_25|isolate_56	1.6663865286920885	0.5795594701558332
Cladosiphon	LCC_4|isolate_25|isolate_56	1.6284372472404984	0.556711857982944
Cladosiphon	LCC_4|isolate_25|isolate_56	1.5887636745880365	0.5546145005633565
Cladosiphon	LCC_4|isolate_25|isolate_56|isolate_69	1.8054581624979105	0.6043992307410171
